,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Precious Achiuwa,PF,21,MIA,11,2,17.8,3.2,5.3,.603,0.0,0.0,,3.2,5.3,.603,.603,1.8,3.3,.556,2.2,3.5,5.7,1.0,0.2,0.4,1.5,2.5,8.2
1,Jaylen Adams,PG,24,MIL,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Steven Adams,C,27,NOP,12,12,31.2,4.3,6.6,.646,0.0,0.0,,4.3,6.6,.646,.646,1.6,3.1,.514,3.7,5.3,9.0,2.8,1.2,0.8,1.8,1.8,10.1
3,Bam Adebayo,C,23,MIA,9,9,30.8,6.7,10.2,.652,0.0,0.0,,6.7,10.2,.652,.652,5.2,6.2,.839,1.1,7.7,8.8,5.1,0.9,1.2,3.2,2.6,18.6
4,LaMarcus Aldridge,C,35,SAS,10,10,28.3,5.8,13.7,.423,1.1,4.0,.275,4.7,9.7,.485,.464,0.9,1.1,.818,0.9,4.1,5.0,2.5,0.5,0.7,1.3,2.1,13.6
5,Ty-Shon Alexander,SG,22,PHO,3,0,2.7,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
6,Nickeil Alexander-Walker,SG,22,NOP,10,3,19.0,4.4,9.3,.473,1.5,3.9,.385,2.9,5.4,.537,.554,1.0,1.3,.769,0.3,2.5,2.8,1.8,0.9,0.1,1.5,2.2,11.3
7,Grayson Allen,SG,25,MEM,11,4,21.1,2.1,5.8,.359,1.5,4.1,.356,0.6,1.7,.368,.484,1.6,1.8,.900,0.5,2.1,2.6,1.9,1.0,0.3,0.9,0.9,7.3
8,Jarrett Allen,C,22,BRK,12,5,26.7,3.7,5.4,.677,0.0,0.0,,3.7,5.4,.677,.677,3.8,5.1,.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
9,Kyle Anderson,PF,27,MEM,12,12,29.8,4.7,11.2,.418,1.4,4.3,.327,3.3,6.8,.476,.481,2.0,2.5,.800,0.9,6.3,7.2,4.3,0.5,0.8,1.8,1.8,12.8
10,Giannis Antetokounmpo,PF,26,MIL,12,12,31.1,9.7,18.1,.535,1.5,4.9,.305,8.2,13.2,.620,.576,5.8,10.0,.575,1.8,8.3,10.0,5.2,1.2,1.2,3.7,3.4,26.6
11,Kostas Antetokounmpo,PF,23,LAL,1,0,8.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0
12,Thanasis Antetokounmpo,SF,28,MIL,12,0,10.3,1.2,1.8,.636,0.2,0.6,.286,1.0,1.3,.800,.682,0.2,0.3,.667,1.0,1.0,2.0,1.0,0.3,0.1,1.1,1.8,2.7
13,Carmelo Anthony,PF,36,POR,12,0,24.8,3.8,9.4,.398,1.8,4.1,.429,2.0,5.3,.375,.491,2.8,3.3,.846,0.3,2.8,3.1,1.2,0.8,0.5,0.8,2.3,12.0
14,Cole Anthony,PG,20,ORL,13,5,24.1,3.7,11.1,.333,0.7,3.4,.205,3.0,7.7,.390,.365,2.3,2.6,.882,0.9,3.3,4.2,3.5,0.7,0.2,1.8,1.8,10.4
15,OG Anunoby,SF,23,TOR,12,12,34.8,4.5,9.8,.462,2.0,5.8,.348,2.5,4.0,.625,.564,2.1,2.9,.714,1.3,4.0,5.3,1.7,2.1,0.6,1.7,2.8,13.1
16,Ryan Arcidiacono,PG,26,CHI,3,0,15.0,1.3,4.0,.333,0.7,2.7,.250,0.7,1.3,.500,.417,1.3,1.7,.800,0.0,3.3,3.3,3.0,0.7,0.0,0.7,1.3,4.7
17,D.J. Augustin,PG,33,MIL,12,0,18.5,1.8,5.0,.367,1.3,3.3,.385,0.6,1.8,.333,.492,1.2,1.2,1.000,0.6,0.8,1.3,2.8,0.4,0.0,1.1,0.5,6.1
18,Deni Avdija,SF,20,WAS,11,11,23.2,2.5,5.6,.452,1.5,3.2,.457,1.1,2.5,.444,.581,0.5,0.7,.625,0.4,3.6,4.0,2.2,1.0,0.3,0.6,2.6,7.0
19,Deandre Ayton,C,22,PHO,11,11,30.2,5.5,9.6,.566,0.1,0.4,.250,5.4,9.3,.578,.571,1.5,2.3,.640,2.9,8.4,11.3,1.8,0.4,1.0,1.8,3.4,12.5
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Udoka Azubuike,C,21,UTA,6,0,5.0,0.5,0.8,.600,0.0,0.0,,0.5,0.8,.600,.600,0.3,0.7,.500,0.3,0.7,1.0,0.0,0.2,0.2,0.3,0.7,1.3
22,Dwayne Bacon,SG,25,ORL,13,13,25.5,4.0,9.3,.430,0.6,2.1,.296,3.4,7.2,.468,.463,1.2,1.7,.682,0.5,2.7,3.2,0.8,0.5,0.2,0.7,1.6,9.8
23,Marvin Bagley III,PF,21,SAC,14,14,26.1,5.4,11.5,.466,1.0,2.8,.359,4.4,8.7,.500,.509,2.0,3.4,.596,2.1,5.6,7.8,0.9,0.4,0.6,1.8,2.5,13.7
24,LaMelo Ball,PG,19,CHO,14,0,25.2,4.4,11.0,.403,1.6,4.7,.333,2.9,6.3,.455,.474,1.4,2.0,.679,1.8,5.0,6.8,6.1,1.5,0.4,2.1,2.6,11.8
25,Lonzo Ball,PG,23,NOP,9,9,33.4,4.8,12.1,.394,2.2,7.2,.308,2.6,4.9,.523,.486,0.7,1.1,.600,0.4,3.9,4.3,4.4,1.1,0.7,2.9,2.9,12.4
26,Mo Bamba,C,22,ORL,4,0,8.3,2.0,4.5,.444,0.5,1.8,.286,1.5,2.8,.545,.500,0.5,0.8,.667,1.3,2.3,3.5,0.5,0.0,0.5,0.5,2.5,5.0
27,Desmond Bane,SG,22,MEM,12,0,21.9,3.1,6.5,.474,1.8,3.6,.488,1.3,2.9,.457,.609,0.6,0.8,.778,0.4,2.5,2.9,1.0,0.7,0.0,1.0,1.9,8.5
28,Harrison Barnes,PF,28,SAC,14,14,35.1,5.6,11.4,.491,1.4,3.6,.400,4.1,7.8,.532,.553,3.8,4.6,.815,0.9,5.4,6.4,3.2,0.7,0.2,1.5,1.0,16.4
29,RJ Barrett,SG,20,NYK,14,14,36.9,6.1,15.6,.388,1.0,4.4,.226,5.1,11.2,.452,.420,3.6,4.9,.739,1.6,5.9,7.4,3.4,0.9,0.3,1.8,2.2,16.8
30,Will Barton,SF,30,DEN,13,9,28.9,4.3,10.5,.409,1.5,4.1,.358,2.8,6.5,.440,.478,1.2,1.8,.667,0.7,3.6,4.3,2.9,1.1,0.7,0.9,1.8,11.3
31,Keita Bates-Diop,SF,25,SAS,2,0,1.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Nicolas Batum,SF,32,LAC,14,14,28.2,3.3,6.8,.484,1.9,4.4,.426,1.4,2.4,.588,.621,1.4,1.6,.870,1.1,4.2,5.4,2.7,1.2,0.2,0.6,2.3,9.9
33,Aron Baynes,C,34,TOR,9,9,16.3,2.0,5.3,.375,0.3,2.0,.167,1.7,3.3,.500,.406,0.0,0.0,,1.3,3.6,4.9,0.4,0.1,0.0,0.9,2.2,4.3
34,Kent Bazemore,SF,31,GSW,10,0,15.8,1.9,3.8,.500,0.8,1.6,.500,1.1,2.2,.500,.605,0.4,0.7,.571,0.3,2.4,2.7,2.0,0.8,0.5,1.2,1.8,5.0
