,dates,pulled
0,12/22/2020,
1,12/23/2020,
2,12/24/2020,
3,12/25/2020,
4,12/26/2020,
5,12/27/2020,
6,12/28/2020,
7,12/29/2020,
8,12/30/2020,
9,12/31/2020,
10,1/1/2021,
11,1/2/2021,
12,1/3/2021,
13,1/4/2021,
14,1/5/2021,
15,1/6/2021,
16,1/7/2021,
17,1/8/2021,
18,1/9/2021,
19,1/10/2021,
20,1/11/2021,
21,1/12/2021,
22,1/13/2021,
23,1/14/2021,
24,1/15/2021,
25,1/16/2021,
26,1/17/2021,
27,1/18/2021,
28,1/19/2021,
29,1/20/2021,
30,1/21/2021,
31,1/22/2021,
32,1/23/2021,
33,1/24/2021,
34,1/25/2021,
35,1/26/2021,
36,1/27/2021,
37,1/28/2021,
38,1/29/2021,
39,1/30/2021,
40,1/31/2021,
41,2/1/2021,
42,2/2/2021,
43,2/3/2021,
44,2/4/2021,
45,2/5/2021,
46,2/6/2021,
47,2/7/2021,
48,2/8/2021,
49,2/9/2021,
50,2/10/2021,
51,2/11/2021,
52,2/12/2021,
53,2/13/2021,
54,2/14/2021,
55,2/15/2021,
56,2/16/2021,
57,2/17/2021,
58,2/18/2021,
59,2/19/2021,
60,2/20/2021,
61,2/21/2021,
62,2/22/2021,
63,2/23/2021,
64,2/24/2021,
65,2/25/2021,
66,2/26/2021,
67,2/27/2021,
68,2/28/2021,
69,3/1/2021,
70,3/2/2021,
71,3/3/2021,
72,3/4/2021,
73,3/5/2021,
74,3/6/2021,
75,3/7/2021,
76,3/8/2021,
77,3/9/2021,
78,3/10/2021,
79,3/11/2021,
80,3/12/2021,
81,3/13/2021,
82,3/14/2021,
83,3/15/2021,
84,3/16/2021,
85,3/17/2021,
86,3/18/2021,
87,3/19/2021,
88,3/20/2021,
89,3/21/2021,
90,3/22/2021,
91,3/23/2021,
92,3/24/2021,
93,3/25/2021,
94,3/26/2021,
95,3/27/2021,
96,3/28/2021,
97,3/29/2021,
98,3/30/2021,
99,3/31/2021,
100,4/1/2021,
101,4/2/2021,
102,4/3/2021,
103,4/4/2021,
104,4/5/2021,
105,4/6/2021,
106,4/7/2021,
107,4/8/2021,
108,4/9/2021,
109,4/10/2021,
110,4/11/2021,
111,4/12/2021,
112,4/13/2021,
113,4/14/2021,
114,4/15/2021,
115,4/16/2021,
116,4/17/2021,
117,4/18/2021,
118,4/19/2021,
119,4/20/2021,
120,4/21/2021,
121,4/22/2021,
122,4/23/2021,
123,4/24/2021,
124,4/25/2021,
125,4/26/2021,
126,4/27/2021,
127,4/28/2021,
128,4/29/2021,
129,4/30/2021,
130,5/1/2021,
131,5/2/2021,
132,5/3/2021,
133,5/4/2021,
134,5/5/2021,
135,5/6/2021,
136,5/7/2021,
137,5/8/2021,
138,5/9/2021,
139,5/10/2021,
140,5/11/2021,
141,5/12/2021,
142,5/13/2021,
143,5/14/2021,
144,5/15/2021,
145,5/16/2021,
